Latitude: 27.374659695972753, Longitude: -82.45212397275992
Latitude: 27.374659693297794, Longitude: -82.45212396133122
Latitude: 27.374659785866253, Longitude: -82.45212391018664
Latitude: 27.374659784018736, Longitude: -82.45212389857382
Latitude: 27.374659849514032, Longitude: -82.45212380575875
Latitude: 27.374659847682647, Longitude: -82.45212379366586
Latitude: 27.374659858412752, Longitude: -82.4521238098762
Latitude: 27.374659854605326, Longitude: -82.45212380143873
Latitude: 27.374659905643032, Longitude: -82.45212367987294
Latitude: 27.374659900615526, Longitude: -82.45212367008631
Latitude: 27.374659904903133, Longitude: -82.45212347544765
Latitude: 27.37465989780287, Longitude: -82.45212345947989
Latitude: 27.374659955058632, Longitude: -82.4521233663697
Latitude: 27.37465994703262, Longitude: -82.45212335046268
Latitude: 27.37466000420082, Longitude: -82.45212319699858
Latitude: 27.37465999740365, Longitude: -82.45212317917884
Latitude: 27.374660029532176, Longitude: -82.45212308798415
Latitude: 27.374660022210605, Longitude: -82.45212306869813
Latitude: 27.37466008071368, Longitude: -82.45212300970306
Latitude: 27.374660074374848, Longitude: -82.45212299105715
Latitude: 27.374660089723953, Longitude: -82.45212291237365
Latitude: 27.374660081815616, Longitude: -82.45212289421552
Latitude: 27.374660181529833, Longitude: -82.45212286647991
Latitude: 27.37466017567677, Longitude: -82.45212284921224
Latitude: 27.374660260323083, Longitude: -82.45212287192409
Latitude: 27.374660256214224, Longitude: -82.45212285881334
Latitude: 27.374660323502685, Longitude: -82.45212281117352
Latitude: 27.374660321320487, Longitude: -82.45212279876117
Latitude: 27.3746603145868, Longitude: -82.45212274626296
Latitude: 27.374660308756926, Longitude: -82.45212273417546
Latitude: 27.374660359122196, Longitude: -82.45212269314843
Latitude: 27.374660354750826, Longitude: -82.45212268236061
Latitude: 27.374660446841943, Longitude: -82.4521227145564
Latitude: 27.3746604450739, Longitude: -82.45212270730215
Latitude: 27.374660507911244, Longitude: -82.45212265067515
Latitude: 27.37466050688726, Longitude: -82.45212264456192
Latitude: 27.374660581608047, Longitude: -82.45212257563124
Latitude: 27.374660582332385, Longitude: -82.45212256858746
Latitude: 27.37466056854995, Longitude: -82.45212245166276
Latitude: 27.374660566704367, Longitude: -82.45212244281446
Latitude: 27.37466057827446, Longitude: -82.45212237355967
Latitude: 27.374660574890296, Longitude: -82.45212236419789
Latitude: 27.374660581033243, Longitude: -82.45212233738016
Latitude: 27.37466057724479, Longitude: -82.4521223290956
Latitude: 27.374660528507018, Longitude: -82.45212231607228
Latitude: 27.37466052155953, Longitude: -82.45212230972675
Latitude: 27.374660641173364, Longitude: -82.45212234684865
Latitude: 27.374660636038648, Longitude: -82.45212234402396
Latitude: 27.374660641480684, Longitude: -82.45212234269216
Latitude: 27.374660635932113, Longitude: -82.45212234109148
Latitude: 27.374660640530752, Longitude: -82.45212228848273
Latitude: 27.374660633121202, Longitude: -82.45212228672197
Latitude: 27.374660635610418, Longitude: -82.4521223602422
Latitude: 27.374660627774393, Longitude: -82.4521223617347
Latitude: 27.374660656051763, Longitude: -82.4521222860526
Latitude: 27.374660647751035, Longitude: -82.45212228783019
Latitude: 27.374660697262986, Longitude: -82.45212230560983
Latitude: 27.374660689593714, Longitude: -82.45212230970742
Latitude: 27.374660702849653, Longitude: -82.4521223900387
Latitude: 27.374660694843726, Longitude: -82.45212239869046
Latitude: 27.374660697714965, Longitude: -82.4521223504989
Latitude: 27.374660688879114, Longitude: -82.45212235759
Latitude: 27.374660640037167, Longitude: -82.4521223666245
Latitude: 27.3746606297412, Longitude: -82.45212237537964
Latitude: 27.374660625970634, Longitude: -82.45212235652794
Latitude: 27.374660614585444, Longitude: -82.45212236535512
Latitude: 27.374660640887846, Longitude: -82.45212225507792
Latitude: 27.374660629213704, Longitude: -82.45212226097821
Latitude: 27.374660663120736, Longitude: -82.45212214199462
Latitude: 27.37466065265594, Longitude: -82.45212214539563
Latitude: 27.374660720365885, Longitude: -82.45212205301681
Latitude: 27.37466071188018, Longitude: -82.45212205472183
Latitude: 27.37466069361275, Longitude: -82.45212188161975
Latitude: 27.374660683126706, Longitude: -82.45212187875903
Latitude: 27.3746606978968, Longitude: -82.45212179719712
Latitude: 27.374656940386057, Longitude: -82.45211377890293
Latitude: 27.374656936448325, Longitude: -82.4521137704832
Latitude: 27.37465694033758, Longitude: -82.45211376989008
Latitude: 27.37465701316146, Longitude: -82.45211390037943
Latitude: 27.37465701884413, Longitude: -82.45211390402811
Latitude: 27.374657016289984, Longitude: -82.45211383772539
Latitude: 27.37465701945567, Longitude: -82.45211383934254
Latitude: 27.374657035591266, Longitude: -82.45211377243763
Latitude: 27.37465703703391, Longitude: -82.45211377290593
Latitude: 27.374657022019043, Longitude: -82.45211370692984
Latitude: 27.374657021780013, Longitude: -82.45211370406246
Latitude: 27.374657003743557, Longitude: -82.45211359711213
Latitude: 27.374657000536615, Longitude: -82.45211358982752
Latitude: 27.374657152693484, Longitude: -82.45211370504192
Latitude: 27.374657154940635, Longitude: -82.45211370315482
Latitude: 27.374657200704032, Longitude: -82.45211369767608
Latitude: 27.374657202279447, Longitude: -82.45211369621614
Latitude: 27.37465719285868, Longitude: -82.45211372709265
Latitude: 27.374657193023648, Longitude: -82.45211372687905
Latitude: 27.374657074237586, Longitude: -82.45211369215062
Latitude: 27.37465706752126, Longitude: -82.45211368987708
Latitude: 27.37465716280897, Longitude: -82.45211380984946
Latitude: 27.374657158538483, Longitude: -82.45211381335031
Latitude: 27.374657289944576, Longitude: -82.45211387795214
Latitude: 27.37465728925185, Longitude: -82.4521138843459
Latitude: 27.374657309174165, Longitude: -82.45211385395874
Latitude: 27.374657308916568, Longitude: -82.4521138604726
Latitude: 27.374657306277424, Longitude: -82.45211386662439
Latitude: 27.374657351757154, Longitude: -82.45211376996173
Latitude: 27.374657371004492, Longitude: -82.45211371616651
